store_name,dimension_name,score
Acme Markets,CEO Rating,52
Acme Markets,Compensation,57
Acme Markets,Diversity,
Acme Markets,eNPS,-26
Acme Markets,Environment,74
Acme Markets,Executive Team,55
Acme Markets,Gender,
Acme Markets,Happiness,58
Acme Markets,Leadership,52
Acme Markets,Manager,57
Acme Markets,Meetings,62
Acme Markets,Office Culture,
Acme Markets,Outlook,56
Acme Markets,Overall,61
Acme Markets,Perks And Benefits,69
Acme Markets,Professional Development,
Acme Markets,Retention,60
Acme Markets,Team,68
Acme Markets,Work Culture,63
Albertsons Companies,CEO Rating,65
Albertsons Companies,Compensation,64
Albertsons Companies,Diversity,64
Albertsons Companies,eNPS,-7
Albertsons Companies,Environment,72
Albertsons Companies,Executive Team,63
Albertsons Companies,Gender,68
Albertsons Companies,Happiness,66
Albertsons Companies,Leadership,64
Albertsons Companies,Manager,66
Albertsons Companies,Meetings,52
Albertsons Companies,Office Culture,57
Albertsons Companies,Outlook,65
Albertsons Companies,Overall,66
Albertsons Companies,Perks And Benefits,69
Albertsons Companies,Professional Development,54
Albertsons Companies,Retention,66
Albertsons Companies,Team,71
Albertsons Companies,Work Culture,68
ALDI USA,CEO Rating,71
ALDI USA,Compensation,75
ALDI USA,Diversity,65
ALDI USA,eNPS,6
ALDI USA,Environment,78
ALDI USA,Executive Team,69
ALDI USA,Gender,73
ALDI USA,Happiness,77
ALDI USA,Leadership,72
ALDI USA,Manager,75
ALDI USA,Meetings,65
ALDI USA,Office Culture,62
ALDI USA,Outlook,74
ALDI USA,Overall,73
ALDI USA,Perks And Benefits,76
ALDI USA,Professional Development,59
ALDI USA,Retention,70
ALDI USA,Team,69
ALDI USA,Work Culture,72
Costco,CEO Rating,89
Costco,Compensation,94
Costco,Diversity,85
Costco,eNPS,68
Costco,Environment,82
Costco,Executive Team,83
Costco,Gender,86
Costco,Happiness,92
Costco,Leadership,82
Costco,Manager,77
Costco,Meetings,78
Costco,Office Culture,65
Costco,Outlook,88
Costco,Overall,84
Costco,Perks And Benefits,95
Costco,Professional Development,59
Costco,Retention,84
Costco,Team,84
Costco,Work Culture,84
Food 4 Less,CEO Rating,55
Food 4 Less,Compensation,55
Food 4 Less,Diversity,56
Food 4 Less,eNPS,-45
Food 4 Less,Environment,67
Food 4 Less,Executive Team,60
Food 4 Less,Gender,68
Food 4 Less,Happiness,54
Food 4 Less,Leadership,62
Food 4 Less,Manager,63
Food 4 Less,Meetings,55
Food 4 Less,Office Culture,63
Food 4 Less,Outlook,56
Food 4 Less,Overall,61
Food 4 Less,Perks And Benefits,59
Food 4 Less,Professional Development,71
Food 4 Less,Retention,59
Food 4 Less,Team,64
Food 4 Less,Work Culture,60
Food lion,CEO Rating,64
Food lion,Compensation,47
Food lion,Diversity,68
Food lion,eNPS,-17
Food lion,Environment,70
Food lion,Executive Team,59
Food lion,Gender,61
Food lion,Happiness,53
Food lion,Leadership,56
Food lion,Manager,55
Food lion,Meetings,48
Food lion,Office Culture,49
Food lion,Outlook,65
Food lion,Overall,60
Food lion,Perks And Benefits,45
Food lion,Professional Development,48
Food lion,Retention,61
Food lion,Team,66
Food lion,Work Culture,66
Fred Meyer,CEO Rating,63
Fred Meyer,Compensation,61
Fred Meyer,Diversity,67
Fred Meyer,eNPS,-4
Fred Meyer,Environment,73
Fred Meyer,Executive Team,61
Fred Meyer,Gender,66
Fred Meyer,Happiness,64
Fred Meyer,Leadership,61
Fred Meyer,Manager,63
Fred Meyer,Meetings,56
Fred Meyer,Office Culture,62
Fred Meyer,Outlook,69
Fred Meyer,Overall,67
Fred Meyer,Perks And Benefits,66
Fred Meyer,Professional Development,60
Fred Meyer,Retention,68
Fred Meyer,Team,73
Fred Meyer,Work Culture,69
Giant Eagle,CEO Rating,56
Giant Eagle,Compensation,56
Giant Eagle,Diversity,52
Giant Eagle,eNPS,-29
Giant Eagle,Environment,68
Giant Eagle,Executive Team,60
Giant Eagle,Gender,62
Giant Eagle,Happiness,58
Giant Eagle,Leadership,57
Giant Eagle,Manager,59
Giant Eagle,Meetings,51
Giant Eagle,Office Culture,41
Giant Eagle,Outlook,60
Giant Eagle,Overall,60
Giant Eagle,Perks And Benefits,61
Giant Eagle,Professional Development,42
Giant Eagle,Retention,57
Giant Eagle,Team,66
Giant Eagle,Work Culture,65
Giant Food,CEO Rating,57
Giant Food,Compensation,44
Giant Food,Diversity,57
Giant Food,eNPS,-62
Giant Food,Environment,74
Giant Food,Executive Team,55
Giant Food,Gender,56
Giant Food,Happiness,49
Giant Food,Leadership,56
Giant Food,Manager,54
Giant Food,Meetings,46
Giant Food,Office Culture,46
Giant Food,Outlook,58
Giant Food,Overall,57
Giant Food,Perks And Benefits,46
Giant Food,Professional Development,51
Giant Food,Retention,53
Giant Food,Team,62
Giant Food,Work Culture,62
"GIANT Food Stores, LLC",CEO Rating,62
"GIANT Food Stores, LLC",Compensation,63
"GIANT Food Stores, LLC",Diversity,71
"GIANT Food Stores, LLC",eNPS,-12
"GIANT Food Stores, LLC",Environment,74
"GIANT Food Stores, LLC",Executive Team,61
"GIANT Food Stores, LLC",Gender,63
"GIANT Food Stores, LLC",Happiness,65
"GIANT Food Stores, LLC",Leadership,63
"GIANT Food Stores, LLC",Manager,66
"GIANT Food Stores, LLC",Meetings,47
"GIANT Food Stores, LLC",Office Culture,
"GIANT Food Stores, LLC",Outlook,67
"GIANT Food Stores, LLC",Overall,67
"GIANT Food Stores, LLC",Perks And Benefits,63
"GIANT Food Stores, LLC",Professional Development,
"GIANT Food Stores, LLC",Retention,67
"GIANT Food Stores, LLC",Team,65
"GIANT Food Stores, LLC",Work Culture,66
Grocery Outlet,CEO Rating,56
Grocery Outlet,Compensation,44
Grocery Outlet,Diversity,54
Grocery Outlet,eNPS,-27
Grocery Outlet,Environment,66
Grocery Outlet,Executive Team,58
Grocery Outlet,Gender,53
Grocery Outlet,Happiness,48
Grocery Outlet,Leadership,55
Grocery Outlet,Manager,55
Grocery Outlet,Meetings,55
Grocery Outlet,Office Culture,
Grocery Outlet,Outlook,59
Grocery Outlet,Overall,57
Grocery Outlet,Perks And Benefits,44
Grocery Outlet,Professional Development,
Grocery Outlet,Retention,58
Grocery Outlet,Team,66
Grocery Outlet,Work Culture,61
H E B,CEO Rating,88
H E B,Compensation,86
H E B,Diversity,83
H E B,eNPS,64
H E B,Environment,82
H E B,Executive Team,80
H E B,Gender,85
H E B,Happiness,88
H E B,Leadership,81
H E B,Manager,78
H E B,Meetings,84
H E B,Office Culture,69
H E B,Outlook,87
H E B,Perks And Benefits,87
H E B,Professional Development,65
H E B,Retention,83
