store_id,store,address,city,state,zip_code,,,
1,ACME Markets,1261 E Putnam Ave,Riverside,CT,6878,,,
2,ACME Markets,261 S Ridge St,Rye Brook,NY,10573,,,
3,ACME Markets,1201 High Ridge Rd,Stamford,CT,6905,,,
4,ACME Markets,160 W Putnam Ave,Greenwich,CT,6830,,,
5,ACME Markets,288 Elm St,New Canaan,CT,6840,,,
6,ACME Markets,1 University Plaza,Newark,DE,19702,,,
7,ACME Markets,100 College Square,Newark,DE,19711,,,
8,ACME Markets,100 Suburban Dr,Newark,DE,19711,,,
9,ACME Markets,4720 Limestone Rd,Wilmington,DE,19808,,,
10,ACME Markets,4365 Robert Kirkwood Hwy,Wilmington,DE,19808,,,
11,ACME Markets,1308 Centerville Rd,Wilmington,DE,19808,,,
12,ACME Markets,236 E Glenwood Ave,Smyrna,DE,19977,,,
13,ACME Markets,146 Fox Hunt Dr,Bear,DE,19701,,,
14,ACME Markets,101 Big Elk Mall,Elkton,MD,21921,,,
15,ACME Markets,315 Ocean St,Cape May,NJ,8204,,,
16,ACME Markets,3845 Bayshore Rd,North Cape May,NJ,8204,,,
17,ACME Markets,9507 Coastal Hwy,Ocean City,MD,21842,,,
18,ACME Markets,460 E Main St,Middletown,DE,19709,,,
19,ACME Markets,1401 N Dupont St,Wilmington,DE,19806,,,
20,ACME Markets,1812 Marsh Rd,Wilmington,DE,19810,,,
21,ACME Markets,1901 Concord Pike,Wilmington,DE,19803,,,
22,ACME Markets,2098 Naamans Rd,Wilmington,DE,19810,,,
23,ACME Markets,711 Washington Ave,Chestertown,MD,21620,,,
24,ACME Markets,210 W Marlboro Ave,Easton,MD,21601,,,
25,ACME Markets,611 Railroad Ave,Centreville,MD,21617,,,
26,ACME Markets,751 S Salisbury Blvd,Salisbury,MD,21801,,,
27,ACME Markets,18578 Coastal Hwy Unit 13,Rehoboth Beach,DE,19971,,,
28,ACME Markets,136 Lake St,Midland Park,NJ,7432,,,
29,ACME Markets,125 Franklin Turnpike,Mahwah,NJ,7430,,,
30,ACME Markets,75 Mayhill St,Saddle Brook,NJ,7663,,,
31,ACME Markets,400 W Cuthbert Blvd,Westmont,NJ,8108,,,
32,ACME Markets,40 Ellis St,Haddonfield,NJ,8033,,,
33,ACME Markets,501 E Evesham Rd,Runnemede,NJ,8078,,,
34,ACME Markets,609 E Bay Ave,Manahawkin,NJ,8050,,,
35,ACME Markets,9600 Long Beach Blvd,Long Beach Township,NJ,8008,,,
36,ACME Markets,425 US Hwy 9,Tuckerton,NJ,8087,,,
37,ACME Markets,690 Millbrook Ave,Randolph,NJ,7869,,,
38,ACME Markets,455 Route 23 N,Sussex,NJ,7461,,,
39,ACME Markets,5774 Berkshire Valley Rd,Oak Ridge,NJ,7438,,,
40,ACME Markets,123 E Main St,Denville,NJ,7834,,,
41,ACME Markets,329 Speedwell Ave,Morris Plains,NJ,7950,,,
42,ACME Markets,4400 S Broad St,Trenton,NJ,8620,,,
43,ACME Markets,6800 New Falls Rd,Levittown,PA,19057,,,
44,ACME Markets,953 Route 33,Trenton,NJ,8690,,,
45,ACME Markets,5100 Wellington Ave,Ventnor City,NJ,8406,,,
46,ACME Markets,212 New Rd,Somers Point,NJ,8244,,,
47,ACME Markets,800 West Ave,Ocean City,NJ,8226,,,
48,ACME Markets,531 High St,Mount Holly,NJ,8060,,,
49,ACME Markets,260 Dunns Mills Rd,Bordentown,NJ,8505,,,
50,ACME Markets,175 Route 70,Medford,NJ,8055,,,
51,ACME Markets,5300 Park Blvd,Wildwood,NJ,8260,,,
52,ACME Markets,2400 Delaware Ave,North Wildwood,NJ,8260,,,
53,ACME Markets,11 Court House South Dennis Rd,Cape May Court House,NJ,8210,,,
54,ACME Markets,15 Avalon Blvd,Cape May Court House,NJ,8210,,,
55,ACME Markets,801 Kenilworth Blvd,Kenilworth,NJ,7033,,,
56,ACME Markets,1260 Springfield Ave,New Providence,NJ,7974,,,
57,ACME Markets,125 Bound Brook Rd,Middlesex,NJ,8846,,,
58,ACME Markets,415 Egg Harbor Rd,Sewell,NJ,8080,,,
59,ACME Markets,515 Berlin-Cross Keys Rd,Sicklerville,NJ,8081,,,
60,ACME Markets,631 Mantua Pike,Woodbury,NJ,8096,,,
61,ACME Markets,550 Myrtle Ave,Boonton,NJ,7005,,,
62,ACME Markets,19-21 Ave At Port Imperial,West New York,NJ,7093,,,
63,ACME Markets,2160 Lemoine Ave,Fort Lee,NJ,7024,,,
64,ACME Markets,614 Clinton St,Hoboken,NJ,7030,,,
65,ACME Markets,507 Prospect Ave,Little Silver,NJ,7739,,,
66,ACME Markets,616 Newman Springs Rd,Lincroft,NJ,7738,,,
67,ACME Markets,3500 Route 9,Old Bridge,NJ,8857,,,
68,ACME Markets,481 River Rd,Edgewater,NJ,7020,,,
69,ACME Markets,660 McLean Ave,Yonkers,NY,10704,,,
70,ACME Markets,2007 Route 35,Wall Township,NJ,7719,,,
71,ACME Markets,100 E Black Horse Pike,Audubon,NJ,8106,,,
72,ACME Markets,125 18th St,Jersey City,NJ,7310,,,
73,ACME Markets,321 Route 440,Jersey City,NJ,7305,,,
74,ACME Markets,1060 Raritan Rd,Clark,NJ,7066,,,
