store_id,address,city,state,zip_code,phone_number
1,1261 E Putnam Ave,Riverside,CT,06878,(203) 637-0188
2,261 S Ridge St,Rye Brook,NY,10573,(914) 937-2233
3,1201 High Ridge Rd,Stamford,CT,06905,(203) 321-0429
4,1201 High Ridge Rd,Stamford,CT,06905,(203) 321-0429
5,1261 E Putnam Ave,Riverside,CT,06878,(203) 637-0188
6,160 W Putnam Ave,Greenwich,CT,06830,(203) 622-2944
7,160 W Putnam Ave,Greenwich,CT,06830,(203) 622-2944
8,1201 High Ridge Rd,Stamford,CT,06905,(203) 321-0429
9,261 S Ridge St,Rye Brook,NY,10573,(914) 937-2233
10,288 Elm St,New Canaan,CT,06840,(203) 966-0017
11,1261 E Putnam Ave,Riverside,CT,06878,(203) 637-0188
12,160 W Putnam Ave,Greenwich,CT,06830,(203) 622-2944
13,1 University Plaza,Newark,DE,19702,(302) 738-9509
14,100 College Square,Newark,DE,19711,(302) 286-0425
15,100 Suburban Dr,Newark,DE,19711,(302) 453-2330
16,4720 Limestone Rd,Wilmington,DE,19808,(302) 998-4465
17,4365 Robert Kirkwood Hwy,Wilmington,DE,19808,(302) 636-1140
18,1308 Centerville Rd,Wilmington,DE,19808,(302) 994-3660
19,236 E Glenwood Ave,Smyrna,DE,19977,(302) 653-9600
20,146 Fox Hunt Dr,Bear,DE,19701,(302) 836-9380
21,101 Big Elk Mall,Elkton,MD,21921,(410) 398-4925
22,1 University Plaza,Newark,DE,19702,(302) 738-9509
23,100 College Square,Newark,DE,19711,(302) 286-0425
24,100 Suburban Dr,Newark,DE,19711,(302) 453-2330
25,315 Ocean St,Cape May,NJ,08204,(609) 884-7217
26,3845 Bayshore Rd,North Cape May,NJ,08204,(609) 884-1203
27,9507 Coastal Hwy,Ocean City,MD,21842,(410) 723-7004
28,460 E Main St,Middletown,DE,19709,(302) 449-1870
29,146 Fox Hunt Dr,Bear,DE,19701,(302) 836-9380
30,101 Big Elk Mall,Elkton,MD,21921,(410) 398-4925
31,1308 Centerville Rd,Wilmington,DE,19808,(302) 994-3660
32,1401 N Dupont St,Wilmington,DE,19806,(302) 658-0575
