store_id,address,city,state,zip_code,phone_number
1,2935 E Riggs Rd,Chandler,AZ,85249,(480) 802-1970
2,3145 S Alma School Rd,Chandler,AZ,85248,(480) 899-7102
3,4060 W Ray Rd,Chandler,AZ,85226,(480) 491-1026
4,861 E Warner Rd,Gilbert,AZ,85296,(480) 558-0105
5,5040 W Cactus Rd,Glendale,AZ,85304,(602) 843-1871
6,1980 Mcculloch Blvd,Lake Havasu City,AZ,86403,(928) 854-5300
7,12970 W Indian School Rd,Litchfield Park,AZ,85340,(623) 535-7991
8,1951 W Baseline Rd,Mesa,AZ,85202,(480) 456-4373
9,2727 N Power Rd,Mesa,AZ,85215,(480) 396-9282
10,325 S Power Rd,Mesa,AZ,85206,(480) 924-9001
11,441 N Val Vista Dr,Mesa,AZ,85213,(480) 830-5132
12,9243 E Baseline Rd,Mesa,AZ,85209,(480) 986-3060
13,8240 W Deer Valley Rd,Peoria,AZ,85382,(623) 572-5744
14,8950 W Bell Rd,Peoria,AZ,85382,(623) 876-8103
15,18411 N Cave Creek Rd,Phoenix,AZ,85032,(602) 494-7388
16,21001 N Tatum Blvd Suite 76,Phoenix,AZ,85050,(480) 342-8231
17,3130 W Carefree Hwy,Phoenix,AZ,85086,(623) 582-4985
18,8035 N 19th Ave,Phoenix,AZ,85021,(602) 678-0895
19,11475 E Via Linda,Scottsdale,AZ,85259,(480) 767-0819
20,2785 N Scottsdale Rd,Scottsdale,AZ,85257,(480) 947-6977
21,6965 N Hayden Rd,Scottsdale,AZ,85250,(480) 991-9707
22,14551 W Grand Ave,Surprise,AZ,85374,(623) 546-8038
23,1350 N Silverbell Rd,Tucson,AZ,85745,(520) 623-7449
24,2854 N Campbell Ave,Tucson,AZ,85719,(520) 321-1212
25,5085 N La Canada Dr,Tucson,AZ,85704,(520) 696-0325
26,6600 E Grant Rd,Tucson,AZ,85715,(520) 885-6109
27,7300 N La Cholla Blvd,Tucson,AZ,85741,(520) 575-0993
28,9595 E Broadway,Tucson,AZ,85748,(520) 751-7699
29,2378 W 24th St,Yuma,AZ,85364,(928) 343-2330
30,252 W 32nd St,Yuma,AZ,85364,(928) 726-9500
31,2400 W Commonwealth Ave,Alhambra,CA,91803,(626) 293-7100
32,2955 Alpine Blvd,Alpine,CA,91901,(619) 445-0231
33,810 S State College Blvd,Anaheim,CA,92806,(714) 533-4790
34,20261 Hwy 18,Apple Valley,CA,92307,(760) 242-3660
35,298 E Live Oak Ave,Arcadia,CA,91006,(626) 446-1416
36,13045 Rosedale Hwy,Bakersfield,CA,93314,(661) 587-0153
37,1520 Brundage Ln,Bakersfield,CA,93304,(661) 328-0818
38,2691 Mt Vernon Ave,Bakersfield,CA,93306,(661) 872-3511
39,3500 Panama Ln,Bakersfield,CA,93313,(661) 827-0394
40,6045 Coffee Rd,Bakersfield,CA,93308,(661) 587-2870
41,7900 White Ln,Bakersfield,CA,93309,(661) 836-9691
42,8200 E Stockdale Hwy,Bakersfield,CA,93311,(661) 833-6071
43,300 S Highland Springs Ave #7,Banning,CA,92220,(951) 769-1779
44,840 E Hobson Way,Blythe,CA,92225,(760) 922-4099
45,2500 E Imperial Hwy,Brea,CA,92821,(714) 671-1180
46,222 E Hwy 246,Buellton,CA,93427,(805) 693-1069
47,8880 Valley View St,Buena Park,CA,90620,(714) 236-8200
48,26521 Agoura Rd,Calabasas,CA,91302,(818) 880-9080
49,1018 Casitas Pass Rd,Carpinteria,CA,93013,(805) 684-4815
50,110 E Carson St,Carson,CA,90745,(310) 835-6402
51,200 E Sepulveda Blvd,Carson,CA,90745,(310) 513-1900
52,12013 Central Ave,Chino,CA,91710,(909) 464-1594
53,15970 Los Serranos Country Club Dr,Chino Hills,CA,91709,(909) 606-8184
54,3255 Grand Ave,Chino Hills,CA,91709,(909) 590-3660
55,720 3rd Ave,Chula Vista,CA,91910,(619) 498-5160
56,1260 E Ontario Ave,Corona,CA,92881,(951) 734-8451
57,260 W Foothill Pkwy,Corona,CA,92882,(951) 340-1425
