store_id,Address,City,State,Zip Code
1,"4700 US-280, Ste 6",Birmingham,AL,35242
2,"6900 US Highway 90, Ste 2",Daphne,AL,36526
3,549 Brookwood Village,Homewood,AL,35209
4,4800 Whitesburg Dr SW,Huntsville,AL,35802
5,"3940 Airport Blvd, Ste A",Mobile,AL,36605
6,1635 Perry Hill Rd,Montgomery,AL,36106
7,"1320 McFarland Blvd E, Ste 100",Tuscaloosa,AL,35404
8,"11525 Cantrell Rd, Ste 800",Little Rock,AR,72212
9,"2203 S Promenade Blvd, Ste 12100",Rogers,AR,72758
10,315 W Main St,Avon,CT, 6001
11,"1919 Boston Post Rd, Ste 305",Guilford,CT, 6437
12,605 Post Rd E,Westport,CT, 6880
13,30098 Veterans Way,Rehoboth Beach,DE,19971
14,18299 Biscayne Blvd,Aventura,FL,33160
15,5540 N Military Trail,Boca Raton,FL,33496
16,20409 State Road 7,Boca Raton,FL,33498
17,100 W Camino Real,Boca Raton,FL,33432
18,27251 Bay Landing Dr,Bonita Springs,FL,34135
19,6701 Manatee Ave W,Bradenton,FL,34209
20,25961 US Hwy 19 N,Clearwater,FL,33763
21,4633 N University Dr,Coral Springs,FL,33067
22,1727 S Federal Hwy,Delray Beach,FL,33483
23,4495 Commons Dr W,Destin,FL,32541
24,3580 NW 83rd Ave,Doral,FL,33166
25,"1960 E West Pkwy, Ste 100",Fleming Island,FL,32003
26,424 N Federal Hwy,Fort Lauderdale,FL,33301
27,3820 N Federal Hwy,Fort Lauderdale,FL,33308
28,13499 S Cleveland Ave,Fort Myers,FL,33907
29,4120 NW 16th Blvd,Gainesville,FL,32605
30,"12795 San Jose Blvd, Ste 1",Jacksonville,FL,32223
31,"150 Riverside Ave, Ste 200",Jacksonville,FL,32202
32,13493 Atlantic Blvd,Jacksonville,FL,32225
33,311 E Indiantown Rd,Jupiter,FL,33477
34,612 Centerview Blvd,Kissimmee,FL,34741
35,3775 Lake Emma Rd,Lake Mary,FL,32746
36,6385 N Wickham Rd,Melbourne,FL,32940
37,2640 S Bayshore Dr,Miami,FL,33133
