store_id,address,city,state,zip_code
1,2801 East Waterloo Road,Akron,OH ,44312
2,484 East Waterloo Road,Akron,OH ,44319
3,3750 W Market Street,Akron,OH ,44333
4,1800 W. State,Alliance,OH ,44601
5,2201 Kresge Drive,Amherst,OH ,44001
6,2390 Prospect Avenue,Ashtabula,OH ,44004
7,31990 Walker Road,Avon Lake,OH ,44012
8,8515 Tanglewood Square,Bainbridge Township,OH ,44023
9,41 5th Street S.E.,Barberton,OH ,44203
10,24601 Chagrin Blvd.,Beachwood,OH ,44122
11,900 Northfield Road,Bedford,OH ,44146
12,50 West Bridge Street,Berea,OH ,44017
13,11031 State Rt. 212 - N.E.,Bolivar,OH ,44612
14,4343 Royalton Road,Broadview Heights,OH ,44147
15,14650 Snow Road,Brook Park,OH ,44142
16,6300 Biddulph Road,Brooklyn,OH ,44144
17,3440 Center Road,Brunswick,OH ,44212
18,2275 Locust Street,Canal Fulton,OH ,44614
19,525 East Main Street,Canfield,OH ,44406
20,"3100 Cromer Avenue, N.W.",Canton,OH ,44709
21,"608 Raff Road, SW",Canton,OH ,44710
22,351 Center Street,Chardon,OH ,44024
23,12692 Chillicothe Road,Chesterland,OH ,44026
24,3050 W. 117th Street,Cleveland,OH ,44111
25,7939 Day Drive,Cleveland,OH ,44129
26,15325 Edgecliff Avenue,Cleveland,OH ,44111
27,6867 East Broad Street,Columbus,OH ,43213
28,280 E. Whittier Street,Columbus,OH ,43206
29,1250 N. Hamilton Road,Columbus,OH ,43230
30,4780 West Broad Street,Columbus,OH ,43228
31,2900 Stelzer Road,Columbus,OH ,43219
32,2801 N. High Street,Columbus,OH ,43202
33,4747 Sawmill Road,Columbus,OH ,43220
34,840 W 3rd Avenue,Columbus,OH ,43212
35,3061 Kingsdale Center,Columbus,OH ,43221
36,230 Howe Avenue,Cuyahoga Falls,OH ,44221
37,2687 State Road,Cuyahoga Falls,OH ,44223
38,515 Union Avenue,Dover,OH ,44622
39,6700 Perimeter Loop Road,Dublin,OH ,43017
40,15937 State Route 170,East Liverpool,OH ,43920
41,619 Bradshaw Avenue,East Liverpool,OH ,43920
42,320 Market Drive,Elyria,OH ,44035
43,2775 West Market Street,Fairlawn,OH ,44333
44,21593 Lorain Road,Fairview Park,OH ,44126
45,5744 Transportation Blvd,Garfield Heights,OH ,44125
46,755 South Broadway Avenue,Geneva,OH ,44041
47,2173 Stringtown Road,Grove City,OH ,43123
48,3841 S. Hamilton Road,Groveport,OH ,43125
49,907 West Maple Street,Hartville,OH ,44632
50,4001 Britton Parkway,Hilliard,OH ,43026
51,6700 Hayden Run Road,Hilliard,OH ,43026
52,14100 Detroit Ave.,Lakewood,OH ,44107
53,1394 Ety Shops Way,Lancaster,OH ,43130
54,55 Meadow Park Ave,Lewis Center,OH ,43035
55,108 West Main Street,Louisville,OH ,44641
56,25105 Cedar Road,Lyndhurst,OH ,44124
57,5321 Warrensville Center Road,Maple Heights,OH ,44137
58,128 Gross Street,Marietta,OH ,45750
59,2032 Lincoln Way,Massillon,OH ,44646
60,6259 Mayfield Road,Mayfield Heights,OH ,44124
61,870 N. Court,Medina,OH ,44256
62,7960 Plaza Boulevard,Mentor,OH ,44060
63,6079 Andrew Road,Mentor On The Lake,OH ,44060
64,6869 Southland Drive,Middleburg Heights,OH ,44130
65,15400 West High Street,Middlefield,OH ,44062
66,5461 New Albany Road West,New Albany,OH ,43054
