store_id,address,city,state,zip_code,phone_number
1,"5850 Us Hwy 431 Albertville, AL 35950",,,,
2,"3108 McLellan Blvd Anniston, AL 36204",,,,
3,"625 US Hwy 72 Athens, AL 35611",,,,
4,"873 Dennison Ave Birmingham, AL 35211",,,,
5,"50468 AL Hwy 277 Bridgeport, AL 35740",,,,
6,"301b N 12th St Gadsden, AL 35901",,,,
7,"3505 Pulaski Pike NW Huntsville, AL 35810",,,,
8,"689 Hwy 78 W Jasper, AL 35501",,,,
9,"161 Bessemer Super Hwy Midfield, AL 35228",,,,
10,"3067 Mcfarland Blvd Northport, AL 35476",,,,
11,"1320 E Highland Ave Selma, AL 36703",,,,
12,"204 W Fort Williams Sylacauga, AL 35150",,,,
13,"1316 Edison Ave Benton, AR 72015",,,,
14,"429 E Main St Magnolia, AR 71753",,,,
15,"313 N Hyatt St Monticello, AR 71655",,,,
16,"6 College Hill Center Texarkana, AR 71854",,,,
17,"337 W Broadway West Memphis, AR 72301",,,,
18,"698 Peoria St Aurora, CO 80011",,,,
19,"15220 E 6th Ave Aurora, CO 80011",,,,
20,"405 South Circle Dr Colorado Springs, CO 80910",,,,
21,"7290 Monaco St Commerce City, CO 80022",,,,
22,"1951 S Federal Blvd Denver, CO 80219",,,,
23,"4255 W Florida Ave Denver, CO 80219",,,,
24,"4860 Pecos St Denver, CO 80221",,,,
25,"7150 Leetsdale Dr Denver, CO 80224",,,,
26,"4874 Chambers Rd Denver, CO 80239",,,,
27,"816 25th St Greeley, CO 80631",,,,
28,"1750 N Main St Longmont, CO 80501",,,,
29,"1000 W 104th Ave Northglenn, CO 80234",,,,
30,"1110 Bonforte Blvd Pueblo, CO 81001",,,,
31,"630 W 84th Ave Thornton, CO 80260",,,,
32,"3045 W 74th Ave Westminster, CO 80030",,,,
33,"540 Pequonnock St Bridgeport, CT 06604",,,,
34,"954 Main St East Hartford, CT 06108",,,,
35,"1125 Dixwell Ave Hamden, CT 06514",,,,
36,"1888 Main St Hartford, CT 06120",,,,
37,"425 Broad St Manchester, CT 06040",,,,
38,"311 W Main St Meriden, CT 06451",,,,
39,"205 Union St Waterbury, CT 06706",,,,
40,"514 Rhode Island Ave NE Washington, DC 20002",,,,
41,"401 Naamans Rd #3 Claymont, DE 19703",,,,
42,"696 N Dupont Blvd Milford, DE 19963",,,,
43,"28632 Dupont Blvd Millsboro, DE 19966",,,,
44,"196 Penn Mart Center New Castle, DE 19720",,,,
45,"401 W Stein Hwy Seaford, DE 19973",,,,
46,"1422 Lancaster Ave Wilmington, DE 19805",,,,
47,"714 S Maryland Ave Wilmington, DE 19805",,,,
48,"823 E Semoran Blvd Apopka, FL 32703",,,,
49,"1325 East Oak St Arcadia, FL 34266",,,,
50,"12859 SW St Rd 45 Archer, FL 32618",,,,
51,"464 Havendale Blvd Auburndale, FL 33823",,,,
52,"1020 US Hwy 27 S Avon Park, FL 33825",,,,
53,"330 E Van Fleet Dr Bartow, FL 33830",,,,
54,"12060 US Hwy 19 N Bayonet Point, FL 34667",,,,
55,"10751 US Hwy 441 SE Belleview, FL 34420",,,,
56,"5631 14th St W Bradenton, FL 34207",,,,
57,"661 E Hathaway Bronson, FL 32621",,,,
58,"20040 Cortez Blvd Brooksville, FL 34601",,,,
59,"13017 Cortez Blvd Brooksville, FL 34613",,,,
60,"110 E Rodgers Blvd Chiefland, FL 32626",,,,
61,"1209 Cleveland St Clearwater, FL 33755",,,,
62,"1203 W Hwy 50 Suite I Clermont, FL 34711",,,,
63,"900 W Sugarland Hwy Unit 10 Clewiston, FL 33440",,,,
64,"1208 Dixon Blvd Cocoa, FL 32922",,,,
65,"925 N Summit St Crescent City, FL 32112",,,,
66,"16702 SE Hwy 19 Cross City, FL 32628",,,,
67,"204 SE US Hwy 19 Crystal River, FL 34429",,,,
68,"12860 US Hwy 301 #5 Dade City, FL 33525",,,,
69,"288 N Nova Rd Daytona Beach, FL 32114",,,,
70,"939 N Woodland Blvd Deland, FL 32720",,,,
71,"221 S Woodland Dr Deland, FL 32720",,,,
72,"1382 Howland Blvd Deltona, FL 32738",,,,
73,"950 Patricia Ave Dunedin, FL 34698",,,,
74,"11582 N Williams St Suite 400 Dunnellon, FL 34432",,,,
75,"332 W Ardice Ave Eustis, FL 32726",,,,
76,"605 Delaware Ave Fort Pierce, FL 34950",,,,
77,"11 Highway 630 East Frostproof, FL 33843",,,,
78,"4901 Palm Beach Blvd Ft Myers, FL 33905",,,,
79,"18911 S Tamiami Trail Ft Myers, FL 33908",,,,
80,"3257 Cleveland Ave Ft. Myers, FL 33901",,,,
81,"2960 S US Hwy 1 Suite D-1 Ft Pierce, FL 34982",,,,
82,"4901 Palm Beach Blvd Ft Myers, FL 33905",,,,
83,"18911 S Tamiami Trail Ft Myers, FL 33908",,,,
84,"3257 Cleveland Ave Ft. Myers, FL 33901",,,,
85,"2605 NW 13th St Gainesville, FL 32601",,,,
86,"5015 Gulfport Blvd Gulfport, FL 33707",,,,
87,"1687 E Hinson Plaza Haines City, FL 33844",,,,
88,"1824 US Hwy 19 Holiday, FL 34691",,,,
89,"1603 N Nova Rd Holly Hill, FL 32117",,,,
90,"8854 SR 52 Hudson, FL 34669",,,,
91,"222 Hwy 41 S Inverness, FL 34450",,,,
92,"8000 Lem Turner Rd Jacksonville, FL 32208",,,,
