store_id,address
1,"5250 Medford Dr. Suite #120 Hoover, AL 35244"
2,"7504 Hwy. 72 West Madison, AL 35758"
3,"Brook Highland Plaza 5265 US Hwy. 280 Birmingham, AL 35242"
4,"6284 S. State St. Murray, UT 84107"
5,"1375 S. State St. Orem, UT 84097"
6,"216 S. 700 East Salt Lake City, UT 84102"
7,"1785 E. Murray Holladay Rd. Holladay, UT 84117"
8,"11519 S. 4000 W. South Jordan, UT 84095"
9,"1000 S. Broad St. Philadelphia, PA 19146"
10,"2001 Welsh Rd. Dresher, PA 19025"
11,"227 Route 73 S Marlton, NJ 08053"
12,"Perkins Rd. & Rouzan Ave. 4841 Rouzan Square Ave Baton Rouge, LA 70808"
13,"Concord Mall 4801 Concord Pike Wilmington, DE 19803"
14,"Boardwalk at Andersen Springs Center 1959 W. Ray Rd. Chandler, AZ 85224"
15,"5225 E. Southern Ave. Mesa, AZ 85206"
16,"Oracle Crossings Shopping Center 7665 N. Oracle Way Oro Valley, AZ 85704"
17,"13759 W. Bell Rd. Surprise, AZ 85374"
18,"Alameda Crossing Center 1813 N. Dysart Rd. Avondale, AZ 85392"
19,"Spectrum Falls Center 2582 S. Val Vista Dr. Gilbert, AZ 85295"
20,"Las Tiendas Shopping Center 2855 S. Alma School Rd. Chandler, AZ 85248"
21,"4735 E. Ray Rd., #100 Phoenix, AZ 85044"
22,"1625 E. Glendale Ave. Phoenix, AZ 85020"
23,"245 E. Bell Rd. #15 Phoenix, AZ 85022"
24,"4402 N. Miller Rd. Scottsdale, AZ 85251"
25,"Mercado del Rancho Center 9301 E. Shea Blvd. #132 Scottsdale, AZ 85260"
26,"1706 E. Southern Ave. Tempe, AZ 85282"
27,"3860 W. River Rd. Tucson, AZ 85741"
28,"Broadway Plaza 7877 E. Broadway Blvd. Tucson, AZ 85710"
29,"4282 N. 1st Ave. Tucson, AZ 85719"
30,"4645 E. Speedway Blvd. Tucson, AZ 85712"
31,"1560 Riordan Ranch St. Flagstaff, AZ 86001"
32,"6760 W. Deer Valley Rd. Glendale, AZ 85310"
33,"5645 E. State Route 69 Prescott Valley, AZ 86314"
34,"Silverstone at Pinnacle Peak 23269 N. Scottsdale Rd. Scottsdale, AZ 85255"
35,"5665 W. Bell Rd. Glendale, AZ 85308"
36,"Lake Pleasant Towne Center 10134 W. Happy Valley Rd. Peoria, AZ 85383"
37,"Queen Creek Market Place 21181 S. Ellsworth Loop Rd. Queen Creek, AZ 85142"
38,"The Plant 4065 S. Gilbert Rd. Chandler, AZ 85249"
39,"Mesa Shores 2060 E. Baseline Rd. Mesa, AZ 85204"
40,"1590 S. 4th Ave. Yuma, AZ 85364"
41,"The Depot Marketplace 174 E. Sheldon St Prescott, AZ 86301"
42,"5918 E Longbow Pkwy Mesa, AZ 85215"
43,"931 E. Elliot Rd. Tempe, AZ 85284"
44,"8787 N. Scottsdale Rd. Scottsdale, AZ 85253"
45,"Village Plaza Shopping Center 12415 N. Tatum Blvd. Phoenix, AZ 85032"
46,"59th Ave. & Baseline 7700 S. 59th Ave. Laveen, AZ 85339"
47,"3320 N. 7th Ave. Phoenix, AZ 85013"
48,"18755 S. Nogales Hwy. Green Valley, AZ 85614"
49,"1240 S. Signal Butte Rd Mesa, AZ 85209"
50,"5355 E. Carefree Hwy, Building A Cave Creek, AZ 85331"
51,"Brown & Gilbert Plaza Shopping Center 1933 E. Brown Rd. Mesa, AZ 85213"
52,"Thunderbird Crossing Shopping Center 8375 W. Thunderbird Rd. Peoria, AZ 85381"
53,"8040 N. 19th Ave. Phoenix, AZ 85021"
54,"Indian Village Shopping Center 2824 E. Indian School Rd. #126 Phoenix, AZ 85016"
55,"5130 W. Peoria Ave. Glendale, AZ 85302"
56,"1523 S. Dale Mabry Hwy. Tampa, FL 33629"
57,"33650 US Hwy 19 N Palm Harbor, FL 34684"
58,"Carrollwood Commons 15110 N. Dale Mabry Hwy. Tampa, FL 33618"
59,"3315 Lithia Pinecrest Rd. Valrico, FL 33596"
60,"Pelican Plaza 8330 S. Tamiami Trail Sarasota, FL 34238"
61,"2224 Logan Blvd. N. Naples, FL 34119"
62,"Winter Park Corners 1999 Aloma Ave. Winter Park, FL 32792"
63,"23656 US Hwy 19 N. Clearwater, FL 33765"
64,"Shoppes at Deerfield 930 S. Federal Hwy Deerfield Beach, FL 33441"
65,"Shoppes at Isla Verde 820 S. State Rd.7 Wellington, FL 33414"
66,"1121 Alafaya Trl. Ste. 1091 Oviedo, FL 32765"
67,"The Village at Mitchell Ranch 8840 Strength Ave. New Port Richey, FL 34655"
68,"US-301 & Summerfield Crossing Blvd. 12960 S. US HWY 301 Riverview, FL 33578"
69,"4873 Town Center Parkway Jacksonville, FL 32246"
70,"Admirals Crossing 3757 Military Trail Jupiter, FL 33458"
71,"12216 Miramar Parkway Miramar, FL 33025"
72,"12675 Beach Blvd, Suite 200 Jacksonville, FL 32246"
73,"7263 Seminole Blvd. Seminole, FL 33772"
74,"3150 SE Federal Highway Stuart, FL 34994"
75,"8620 Hunters Village Road New Tampa, FL 33647"
76,"19990 S. Tamiami Trail Estero, FL 33928"
77,"10619 Sheldon Rd. Tampa, FL 33626"
78,"7603 Turkey Lake Rd., Suite 101 Orlando, FL 32819"
79,"9150 Baltimore National Pike, Ellicott City, MD 21042"
80,"803 Goucher Blvd. Towson, MD 21286"
81,"Tollgate Marketplace 680 Marketplace Drive Bel Air, MD 21014"
82,"8048 Ritchie Highway, Suite 6B Pasadena, MD 21122"
83,"3800 Boston St. Baltimore, MD 21224"
84,"10701 Corrales Rd., NW Albuquerque, NM 87114"
85,"5112 Lomas Blvd., NE Albuquerque, NM 87110"
86,"11201 Montgomery Blvd., NE Albuquerque, NM 87111"
87,"6300 San Mateo Blvd., NE Albuquerque, NM 87109"
88,"3201 Zafarano Dr., Suite 20 Santa Fe, NM 87507"
89,"199 Paseo de Peralta Santa Fe, NM 87501"
90,"Four Hills Shopping Center 13150 Central Ave. SE Albuquerque, NM 87123"
91,"5600 Coors Blvd. NW Albuquerque, NM 87120"
92,"2340 E. Lohman Ave. Las Cruces, NM 88001"
93,"2200 Woodruff Rd. Simpsonville, SC 29681"
94,"Herndon Centre 494 Elden St., Suite 110 Herndon, VA 20170"
95,"152 N. 2nd St. El Cajon, CA 92021"
96,"149 S. Las Posas Rd. San Marcos, CA 92078"
97,"4230 Pacific Coast Hwy. Torrance, CA 90505"
98,"835 W. Foothill Blvd. Claremont, CA 91711"
99,"Westpark Plaza 3775 Alton Pkwy. Irvine, CA 92606"
100,"14945 Holt Ave. Tustin, CA 92780"
101,"Shops at Rossmoor Shopping Center 12301 Seal Beach Blvd. Seal Beach, CA 90740"
102,"Brea Marketplace Shopping Center 735 E. Birch St. Brea, CA 92821"
103,"Mission Grove Shopping Center 475 E. Alessandro Blvd. Riverside, CA 92508"
104,"Village at Orange 1500 E. Village Way, Suite #2279 Orange, CA 92865"
105,"9861 Adams Ave. Huntington Beach, CA 92646"
106,"Carmel Mountain Ranch Shopping Center 11710 Carmel Mountain Rd. San Diego, CA 92128"
107,"600 W. Hillcrest Dr. Thousand Oaks, CA 91360"
108,"5660 Sepulveda Blvd. Culver City, CA 90230"
109,"111 E. El Camino Real Sunnyvale, CA 94087"
110,"39 N. Rosemead Blvd. Pasadena, CA 91107"
111,"River Oaks 24285 Magic Mountain Pkwy. Valencia, CA 91355"
112,"Stanford Ranch Shopping Center 6760 Stanford Ranch Rd. Roseville, CA 95678"
113,"1012 S. Westlake Blvd. Westlake Village, CA 91361"
114,"7153 Amador Plaza Rd. Dublin, CA 94568"
115,"1515 Hawthorne Blvd. Redondo Beach, CA 90278"
