store_id,address,city,state,zip_code,phone_number
1,"205 Summit Blvd, Suite 100",Birmingham,AL,35243,205-969-7801
2,11500 Financial Centre Pky,Little Rock,AR,72211,501-954-7659
3,1779 E. Williams Field Rd.,Gilbert,AZ,85295,480-857-9878
4,7720 West Bell Rd,Glendale,AZ,85308,623-776-7414
5,2050 E Baseline Rd,Mesa,AZ,85204,480-632-0951
6,7912 N Oracle,Oro Valley,AZ,85704,520-797-4207
7,4025 E Chandler Blvd,Phoenix,AZ,85048,480-759-2295
8,4726 East Shea Blvd,Phoenix,AZ,85028,602-485-7788
9,4821 N 20th St,Phoenix,AZ,85016,602-912-9022
10,252 N Lee Blvd,Prescott,AZ,86303,928-443-9075
11,21186 S. Ellsworth Loop Rd,Queen Creek,AZ,85142,480-877-7213
12,7555 E Frank Lloyd Wright,Scottsdale,AZ,85260,480-367-8920
13,6202 N Scottsdale Rd,Scottsdale,AZ,85253,480-948-9886
14,14095 W Grand Ave,Surprise,AZ,85374,623-546-1640
15,940 E. University Drive,Tempe,AZ,85281,480-303-9974
16,6460 S McClintock Dr,Tempe,AZ,85283,480-838-4142
17,1101 N Wilmot Rd,Tucson,AZ,85712,520-733-1313
18,4209 N Campbell Ave,Tucson,AZ,85719,520-325-0069
19,4766 E Grant Rd,Tucson,AZ,85712,520-323-4500
20,28941 Canwood St,Agoura Hills,CA,91301,818-865-8217
21,2217 South Shore Center,Alameda,CA,94501,510-769-5450
22,26541 Aliso Creek Rd,Aliso Viejo,CA,92656,949-643-5531
23,955 Rancho Pkwy,Arroyo Grande,CA,93420,805-474-6114
24,8200 Stockdale Hwy,Bakersfield,CA,93311,661-837-8863
25,1885 University Ave,Berkeley,CA,94703,510-204-9074
26,2500 E Imperial Hwy,Brea,CA,92821,714-257-1180
27,5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044
28,214 E Alameda Ave,Burbank,CA,91502,818-848-4299
29,23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758
30,363 Carmen Dr,Camarillo,CA,93010,805-388-1925
31,1875 Bascom Ave,Campbell,CA,95008,408-369-7823
32,3555 Clares St #D,Capitola,CA,95010,831-464-0115
33,2629 Gateway Rd,Carlsbad,CA,92009,760-603-8473
34,22224 Redwood Rd,Castro Valley,CA,94546,510-538-2738
35,67720 E Palm Canyon Dr,Cathedral City,CA,92234,760-202-0090
36,12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148
37,10330 Mason Ave,Chatsworth,CA,91311,818-341-3010
38,801 East Ave,Chico,CA,95926,530-343-9920
39,13911 Peyton Drive,Chino Hills,CA,91709,909-627-1404
40,878 Eastlake Pkwy,Chula Vista,CA,91914,619-656-5370
41,475 W Foothill Blvd,Claremont,CA,91711,909-625-8784
42,1077 N Willow Ave,Clovis,CA,93611,559-325-3120
43,1150 Concord Ave,Concord,CA,94520,925-689-2990
44,785 Oak Grove Rd,Concord,CA,94518,925-521-1134
45,2790 Cabot Dr,Corona,CA,92883,951-603-0299
46,640 W 17th St,Costa Mesa,CA,92627,949-642-5134
47,6150 Slauson Ave,Culver City,CA,90230,310-313-0441
48,9290 Culver Blvd,Culver City,CA,90232,310-202-1108
49,417 Westlake Center,Daly City,CA,94015,650-755-3825
50,85 Railroad Ave,Danville,CA,94526,925-838-5757
51,885 Russell Blvd,Davis,CA,95616,530-757-2693
52,1566 Colorado Blvd,Eagle Rock,CA,90041,323-257-6422
53,225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609
54,9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980
55,5700 Christie Ave,Emeryville,CA,94608,510-658-8091
56,115 N El Camino Real,Encinitas,CA,92024,760-634-2114
57,17640 Burbank Blvd,Encino,CA,91316,818-990-7751
58,1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020
59,1350 Gateway Blvd,Fairfield,CA,94533,707-434-0144
60,5309 Sunrise Blvd,Fair Oaks,CA,95628,916-863-1744
61,850 East Bidwell,Folsom,CA,95630,916-817-8820
62,39324 Argonaut Way,Fremont,CA,94538,510-794-1386
63,8478 N. Friant Road,Fresno,CA,93720,559-433-6478
64,103 E Glenoaks Blvd,Glendale,CA,91207,818-507-8192
