store_id,address,state,zip_code
1,5537 W Broadway Crystal,MN,55428-3507
2,1902 Miller Trunk Hwy Duluth,MN,55811-1887
3,2555 W 79Th St Bloomington,MN,55431-1250
4,12275 St Charles Rock Rd Bridgeton,MO,63044-2598
5,13131 Montfort Dr Dallas,TX,75240-5112
6,1701 S Yale Tulsa,OK,74112-6222
7,4777 S 27Th St Greenfield,WI,53221-2601
8,15025 Manchester Rd Ballwin,MO,63011-4613
9,5400 N May Ave Oklahoma City,OK,73112-5407
10,7899 Wadsworth Blvd Arvada,CO,80003-2196
11,2500 E Lake St Minneapolis,MN,55406-1909
12,"6464 E Northwest Hwy, Ste 212 Dallas",TX,75214-5903
13,4202 13Th Ave S Fargo,ND,58103-3308
14,2800 Pearl Street Boulder,CO,80301-1123
15,120 W. Parker Rd. Plano,TX,75075-2398
16,1744 Suburban Avenue St Paul,MN,55106-6619
17,1800 Valley West Dr. W. Des Moines,IA,50266-1104
18,10801 Westheimer Rd. Houston,TX,77042-3201
19,3600 S Louise Ave Sioux Falls,SD,57106-6326
20,300 E. Homer M. Adams Pkwy Alton,IL,62002-5994
21,105 Troutman Parkway Fort Collins,CO,80525-3038
22,4317 Kemp Blvd. Wichita Falls,TX,76308-3717
23,2401 Kossow Road Waukesha,WI,53186-2968
24,7302 University Ave. Lubbock,TX,79423-1423
25,2400 10Th Street Sw Minot,ND,58701-6997
26,3500 Dodge St. Dubuque,IA,52003-5261
27,601 Colonial Rd. Memphis,TN,38117-5195
28,2424 Highway 6 And 50 Grand Junction,CO,81505-1109
29,8601 Research Blvd. Austin,TX,78758-7121
30,2300 W. Ben White Blvd. Austin,TX,78704-7525
31,13201 Ridgedale Dr. Minnetonka,MN,55305-1809
32,4000 First Ave. Evansville,IN,47710-3614
33,1037 S. Reed Rd. Kokomo,IN,46902-1929
34,301 S. Veterans Parkway Normal,IL,61761-2115
35,2209 State St. New Albany,IN,47150-4924
36,2050 Gallatin Pike N. Madison,TN,37115-2002
37,26 White Bridge Rd. Nashville,TN,37205-1411
38,6767 S. Clinton St. Englewood,CO,80112-3689
39,8040 Ray Mears Blvd. Knoxville,TN,37919-5480
40,5300 Durand Ave Racine,WI,53406-5091
41,5240 N. Academy Blvd. Colorado Springs,CO,80918-4078
42,5850 Eastex Freeway Beaumont,TX,77708-4824
43,4000 Mccain Blvd. North Little Rock,AR,72116-8039
44,401 Wyoming Blvd. S.E. Casper,WY,82609-4219
45,2206 Memorial Dr. Alexandria,LA,71301-3611
46,2601 Central Ave. Billings,MT,59102-6697
47,13700 San Pedro Ave. San Antonio,TX,78232-4315
48,5255 E. Broadway Tucson,AZ,85711-3702
49,9725 Laurel Canyon Boulevard Pacoima,CA,91331-4100
